year,annual_edition,category,artist,song_or_album,winner,url
2024,67,Best Rap Performance,Kendrick Lamar,Not Like Us,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Album,,VANTABLACK,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Album,,Revenge,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Album,,Algorithm,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Album,,Coming Home,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Album,Chris Brown,11:11 (Deluxe),True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Spoken Word Poetry Album,,CIVIL WRITES: The South Got Something To Say,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Spoken Word Poetry Album,,cOncrete & wHiskey Act II r Part 1: A Bourbon 30 Series,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Spoken Word Poetry Album,,Good M.U.S.I.C. Universe Sonic Sinema: Episode 1 In The Beginning Was The Word,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Spoken Word Poetry Album,,The Seven Number Ones,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Spoken Word Poetry Album,Tank And The Bangas,"The Heart, The Mind, The Soul",True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Album,,Might Delete Later,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Album,,"The Auditorium, Vol. 1",False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Album,,The Death Of Slim Shady (Coup De Grâce),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Album,,We Don't Trust You,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Album,Doechii,Alligator Bites Never Heal,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Song,"Marlanna Evans, songwriter (Rapsody Featuring Hit-Boy)",Asteroids,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Song,"Jordan Carter, Raul Cubina, Grant Dickinson, Samuel Lindley, Nasir Pemberton, Dimitri Roger, Ty Dolla $ign, Kanye West & Mark Carl Stolinski Williams, songwriters (¥$ (Kanye West & Ty Dolla $Ign) Featuring Rich The Kid & Playboi Carti)",Carnival,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Song,"Kendrick Lamar Duckworth, Kobe ""BbyKobe"" Hood, Leland Wayne & Nayvadius Wilburn, songwriters (Future & Metro Boomin Featuring Kendrick Lamar)",Like That,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Song,"Ronnie Jackson, Jaucquez Lowe, Timothy McKibbins, Kevin Andre Price, Julius Rivera III & Gloria Woods, songwriters (GloRilla)",Yeah Glo!,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Song,"""Not Like Us""",Not Like Us,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Melodic Rap Performance,,KEHLANI,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Large Jazz Ensemble Album,Dan Pugach Big Band,Bianca Reimagined: Music For Paws And Persistence,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Instrumental Album,,Owl Song,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Instrumental Album,,Beyond This Place,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Instrumental Album,,Phoenix Reimagined (Live),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Instrumental Album,,Solo Game,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Instrumental Album,Chick Corea & Béla Fleck,Remembrance,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Vocal Album,,Journey In Black,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Vocal Album,,Wildflowers Vol. 1,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Vocal Album,,Milton,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Vocal Album,,My Ideal,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Vocal Album,Samara Joy,A Joyful Holiday,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Performance,,"Walk With Me, Lord (SOUND | SPIRIT)",False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Performance,,Phoenix Reimagined (Live),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Performance,,Juno,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Performance,,Little Fears,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Jazz Performance,Samara Joy Featuring Sullivan Fortner,Twinkle Twinkle Little Me,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Jazz Album,,Night Reign,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Jazz Album,,New Blue Sun,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Jazz Album,,Code Derivation,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Jazz Album,,Foreverland,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Jazz Album,Meshell Ndegeocello,No More Water: The Gospel Of James Baldwin,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,Spain Forever Again,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,COLLAB,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,Time And Again,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,El Trio: Live in Italy,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,Cuba And Beyond,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,,As I Travel,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Latin Jazz Album,"Zaccai Curtis, Luques Curtis, Willie Martinez, Camilo Molina & Reinaldo DeJesus",Cubop Lives!,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Large Jazz Ensemble Album,,Returning To Forever,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Large Jazz Ensemble Album,,And So It Goes,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Large Jazz Ensemble Album,,Walk A Mile In My Shoe,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Large Jazz Ensemble Album,,Golden City,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"Jonathan Groff, Lindsay Mendez & Daniel Radcliffe, principal vocalists; David Caddick, Joel Fram, Maria Friedman & David Lai, producers (Stephen Sondheim, composer & lyricist) (New Broadway Cast)",Merrily We Roll Along,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"John Clancy, Carmel Dean, Kurt Deutsch, Derik Lee, Kevin McCollum & Ingrid Michaelson, producers; Ingrid Michaelson, composer & lyricist (Original Broadway Cast)",The Notebook,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"Joshua Boone, Brent Comer, Brody Grant & Sky Lakota-Lynch, principal vocalists; Zach Chance, Jonathan Clay, Matt Hinkley, Justin Levine & Lawrence Manchester, producers; Zach Chance, Jonathan Clay & Justin Levine, composers/lyricists (Original Broadway Cast)",The Outsiders,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"Andrea Grody, Dean Sharenow & Shaina Taub, producers; Shaina Taub, composer & lyricist (Original Broadway Cast)",Suffs,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"Wayne Brady, Deborah Cox, Nichelle Lewis & Avery Wilson, principal vocalists; Joseph Joubert, Allen René Louis & Lawrence Manchester, producers (Charlie Smalls, composer & lyricist) (2024 Broadway Cast Recording)",The Wiz,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Musical Theater Album,"""Hell’s Kitchen""",Hell’s Kitchen,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
